 InvH_pty_icode, InvH_billnett
 0, 97.5
 0, 159
 0, 28.5
 0, 12
 0, 152
 0, 5241.8
 0, 197
 0, 98
 0, 9.5
 0, 289
 0, 308
 0, 92
 0, 315
 0, 30
 0, 22
 0, 172.5
 0, 1228.5
 0, 15
 0, 200
 0, 40
 0, 40
 0, 70
 0, 45
 0, 43
 0, 174
 0, 217.56
 0, 71
 0, 60
 0, 15
 0, 339.08
 0, 138
 0, 1363.18
 0, 1456.77
 0, 373
 0, 15
 0, 351
 0, 413
 0, 1399
 0, 281
 0, 259
 0, 139.5
 0, 290
 0, 90
 0, 350
 0, 1602.4
 0, 145.95
 0, 17
 0, 232
 0, 11
 0, 380
 0, 23
 0, 92
 0, 14
 0, 5
 0, 27.44
 0, 33
 0, 30
 0, 6
 0, 20
 0, 285.5
 0, 85.4
 0, 29
 0, 218
 0, 20
 0, 148
 0, 141.25
 0, 33
 0, 486
 0, 226
 0, 5.5
 0, 0.5
 0, 16
 0, 250
 0, 91
 0, 145
 0, 3527.8
 0, 6
 0, 160
 0, 17
 0, 212
 0, 24
 0, 10
 0, 133
 0, 103.15
 0, 14
 0, 314.58
 0, 1748.36
 0, 367
 0, 106
 0, 165
 0, 1574.7
 0, 17
 0, 490
 0, 119.56
 0, 52
 0, 145
 0, 261.66
 0, 30
 0, 11
 0, 2110.76
 0, 106
 0, 55
 0, 20
 0, 2369
 0, 744
 0, 113
 0, 321
 0, 69
 0, 118
 0, 86
 0, 322.42
 0, 100
 0, 669.3
 0, 20
 0, 130
 0, 94
 0, 70
 0, 81
 0, 441
 0, 50
 0, 19
 0, 187.18
 0, 8
 0, 1230.04
 0, 158
 0, 112
 0, 69
 0, 812
 3061, 148.67
 0, 19
 0, 104
 0, 562
 0, 360
 0, 32
 3060, 2850
 0, 391
 0, 20
 0, 42
 0, 55
 0, 141
 0, 44
 0, 15
 0, 63
 0, 147
 0, 59
 0, 5.5
 0, 78
 0, 322.5
 0, 102
 0, 80
 0, 937.5
 0, 29
 0, 379
 0, 10
 3074, 463.6
 0, 157.5
 0, 32
 0, 198.94
 0, 50
 0, 138.67
 0, 484.61
 0, 297.92
 0, 1597.5
 0, 951.7
 0, 53.5
 0, 40
 0, 20
 0, 5
 0, 100
 0, 74.5
 0, 17
 0, 39.5
 0, 27
 0, 289
 0, 15
 0, 95
 0, 443.5
 0, 224
 0, 192
 0, 5
 0, 106
 0, 81
 0, 125
 0, 110
 0, 262
 0, 371.42
 0, 196
 0, 1535
 0, 49
 0, 180
 0, 1255
 0, 107
 0, 90
 0, 1000.89
 0, 80
 0, 36
 0, 80
 0, 199
 0, 90
 0, 67.5
 0, 13
 0, 89
 0, 329.62
 0, 6720
 0, 1793.89
 0, 353.5
 0, 20
 0, 1068.5
 2721, 701.5
 0, 12
 0, 11
 0, 141.45
 0, 45
 0, 850.5
 0, 343
 0, 372.5
 0, 55
 0, 569
 0, 151
 0, 30
 0, 70
 0, 199
 0, 73
 0, 46
 0, 5
 0, 1200
 0, 130
 0, 1274.98
 0, 127
 0, 167
 0, 10
 0, 10
 0, 455
 0, 201
 0, 10
 0, 23
 3039, 323
 0, 90.16
 0, 506
 0, 598.5
 0, 20
 0, 150
 0, 100
 0, 292
 2731, 4712
 0, 41
 0, 763.31
 0, 1205
 0, 96
 0, 5
 0, 25
 0, 282.48
 0, 313
 0, 12
 0, 1000.78
 0, 58
 0, 210.5
 0, 52
 0, 63.5
 0, 47
 0, 388
 0, 221
 0, 51.5
 0, 5
 0, 2260.15
 0, 508
 0, 613.5
 0, 1366
 0, 316
 0, 17
 0, 161.5
 0, 42
 3075, 1566
 0, 13
 0, 1545.5
 0, 67
 0, 6
 0, 120
 0, 16
 0, 80
 0, 37.5
 0, 847.5
 0, 141
 0, 91
 0, 743
 0, 144
 0, 4232.5
 0, 15
 0, 55
 0, 39.2
 0, 1538
 0, 1272
 0, 15
 0, 5
 0, 133
 0, 269
 0, 435.5
 0, 845.25
 0, 5
 0, 246.5
 0, 85
 0, 247.5
 0, 25
 0, 402.5
 0, 105.5
 0, 500
 0, 376.75
 0, 120
 0, 60
 0, 5.5
 0, 206.5
 0, 76
 3071, 133
 0, 59
 3071, 494
 0, 102
 0, 195
 0, 379.2
 0, 91
 3060, 388.55
 0, 398.37
 0, 1254
 0, 40
 0, 275
 0, 170
 0, 90
 0, 656.6
 0, 718.5
 0, 22
 0, 32
 0, 23.5
 0, 567
 0, 802
 0, 1708.5
 0, 66.5
 0, 392.5
 0, 847
 0, 800
 0, 1185.75
 0, 846.5
 0, 778.5
 0, 392
 0, 804
 0, 131.5
 0, 2354.5
 0, 456.68
 0, 810
 0, 842
 0, 121
 0, 183
 0, 98
 0, 40
 0, 125
 0, 274
 0, 594.75
 0, 75
 0, 5
 0, 771
 0, 48
 0, 5.5
 0, 87
 2740, 2994.4
 0, 20
 0, 34
 0, 16.5
 0, 204
 0, 162
 0, 358
 0, 14
 0, 174
 0, 980.5
 0, 34
 0, 320
 0, 109
 0, 784
 0, 99
 0, 99.5
 0, 5
 0, 366
 0, 5
 0, 93
 0, 310
 0, 262
 0, 2775.21
 0, 12
 0, 719
 0, 561
 0, 666
 0, 4728.7
 0, 44
 0, 523
 0, 12
 0, 140
 0, 11
 0, 250
 0, 786.5
 0, 524
 0, 370.44
 0, 423
 0, 802
 0, 1077
 0, 30
 0, 359
 0, 3557.8
 0, 45
 0, 198
 0, 1633
 0, 201
 0, 57
 0, 203.84
 0, 42
 0, 65
 0, 1028
 0, 73
 0, 10
 0, 219
 0, 43
 0, 26
 0, 150
 0, 110
 0, 440
 0, 6
 0, 133
 0, 737
 0, 53
 0, 724
 0, 179
 0, 692.08
 0, 351
 0, 18
 0, 30
 0, 79
 0, 123
 0, 147
 0, 25
 0, 51
 0, 55
 0, 15
 0, 69
 0, 280
 0, 47
 0, 68
 0, 7
 0, 460
 0, 22
 0, 15
 0, 156.8
 0, 40
 0, 32
 0, 25
 0, 490
 0, 62
 0, 258.72
 0, 1671.63
 0, 326
 0, 7
 0, 680
 0, 791.35
 0, 105
 0, 85
 0, 903
 0, 48
 0, 30
 0, 5
 0, 10
 0, 170
 0, 165
 0, 11
 0, 15
 0, 105
 0, 14
 0, 465
 0, 285
 0, 1353.25
 0, 491
 0, 158.5
 0, 52
 0, 413
 0, 86
 0, 34
 0, 579
 0, 90
 0, 28
 0, 115
 0, 765
 0, 211
 0, 512
 0, 14
 0, 24
 0, 218
 0, 20
 0, 605
 0, 3508.89
 0, 13.5
 0, 69
 0, 704
 0, 60.76
 0, 47
 0, 443
 0, 123
 0, 20
 0, 237
 0, 22
 0, 5.5
 0, 838
 0, 205.5
 0, 2625.5
 0, 712
 0, 157
 0, 5.5
 0, 373
 0, 44
 0, 165
 0, 292
 0, 154
 0, 487
 0, 215
 0, 80
 0, 5.5
 0, 199
 0, 359
 0, 224
 0, 16
 0, 1037
 0, 20
 0, 15.5
 0, 1
 0, 265
 0, 15.5
 0, 900.5
 0, 202
 0, 5.5
 0, 149
 0, 20
 0, 626.5
 0, 70
 0, 448.84
 0, 348
 0, 1020
 0, 64.5
 0, 224.42
 0, 55
 0, 20
 3039, 2340
 0, 60
 0, 720
 0, 40
 0, 877.5
 0, 22
 0, 10
 0, 40
 0, 14
 0, 68
 0, 441
 0, 246.96
 0, 70
 0, 129
 0, 8
 0, 71
 0, 30
 0, 216
 0, 125
 0, 409
 0, 90
 0, 529
 0, 249.9
 0, 53
 0, 190
 0, 42
 0, 89.95
 0, 40
 0, 64
 0, 58
 0, 245
 0, 344.96
 0, 179
 0, 193
 0, 535.5
 0, 59
 0, 25
 0, 96.03
 0, 90
 0, 15
 0, 105
 0, 745.5
 0, 50
 0, 130
 0, 14
 0, 1779.49
 0, 35
 0, 817
 0, 107
 0, 166.5
 0, 10
 0, 99
 0, 256
 0, 40
 0, 363
 0, 20
 0, 50
 0, 493
 0, 20
 0, 109
 0, 52
 0, 1892
 0, 83
 0, 58
 0, 5
 0, 50
 0, 2
 0, 14
 0, 49
 0, 12
 0, 494
 0, 2120.67
 0, 73
 0, 5.5
 0, 232
 0, 1998.5
 0, 1091
 0, 5.5
 0, 427
 0, 106.5
 0, 303.5
 0, 5
 0, 368.48
 0, 247.5
 0, 12
 0, 30
 0, 281
 0, 22
 0, 947
 0, 10
 0, 431
 0, 38
 0, 685.5
 0, 12
 0, 36
 0, 1025
 0, 200
 0, 84
 0, 18
 0, 184
 0, 100
 0, 163
 0, 989
 0, 524.79
 0, 30
 0, 10
 0, 18
 0, 40
 0, 102
 0, 46
 0, 5
 0, 225
 0, 15
 0, 31
 0, 35
 0, 36
 0, 15
 0, 300
 0, 5980.45
 0, 304.5
 0, 265.5
 0, 530.18
 0, 1009.5
 0, 226
 0, 501
 0, 113
 0, 218.5
 0, 91
 0, 208.5
